;Gene;Gene human;effect;change type;expression evaluation by;sample;model organism;line;sex;change percentage;p_value;age of control - min;age of experiment - min;age of control - mean;age of experiment - mean;age of control - max;age of experiment - max;age unit;doi;pmid;;;;;
#ÑÑÛËÊÀ!;Dixdc1;DIXDC1;decrease;decreased gene expression;mRNA;brain;mouse;C57BL/6J;male;-68,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Dvl2;DVL2;increase;increased gene expression;mRNA;brown adipose tissue;mouse;C57BL/6J;male;40,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Dvl2;DVL2;increase;increased gene expression;mRNA;brown adipose tissue;mouse;C57BL/6J;male;130,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;E2f1;E2F1;decrease;decreased gene expression;mRNA;brown adipose tissue;mouse;C57BL/6;female;-38,00;;n/a;n/a;19;81;n/a;n/a;weeks;10.1016/j.gene.2016.11.006;n/a;;;;;
#ÑÑÛËÊÀ!;Efemp1;EFEMP1;increase;increased gene expression;mRNA;brown adipose tissue;mouse;C57BL/6J;male;250,00;ns;n/a;n/a;1;6;n/a;n/a;months;10.1002/path.5203;n/a;;;;;
#ÑÑÛËÊÀ!;Efemp1;EFEMP1;increase;increased gene expression;mRNA;brown adipose tissue;mouse;C57BL/6J;male;600,00;<0.05;n/a;n/a;1;12;n/a;n/a;months;10.1002/path.5203;n/a;;;;;
#ÑÑÛËÊÀ!;Efemp1;EFEMP1;increase;increased gene expression;mRNA;cardiac endothelial cells;mouse;C57BL/6J;male;400,00;<0.05;n/a;n/a;1;20;n/a;n/a;months;10.1002/path.5203;n/a;;;;;
#ÑÑÛËÊÀ!;Efemp1;EFEMP1;increase;increased gene expression;mRNA;CD4+ T cells;mouse;mixed;both;50,00;;n/a;n/a;5;12;n/a;n/a;months;10.1038/s41586-020-2975-4;n/a;;;;;
#ÑÑÛËÊÀ!;Efemp1;EFEMP1;increase;increased gene expression;mRNA;CD4+ T lymphocytes;mouse;C57BL/6J;male;100,00;;n/a;n/a;3;18;n/a;n/a;months;10.1172/jci.insight.131092;n/a;;;;;
#ÑÑÛËÊÀ!;Efemp1;EFEMP1;increase;increased gene expression;mRNA;CD4+ T lymphocytes;mouse;C57BL/6;n/a;n/a;;n/a;n/a;3.625;23.1;n/a;n/a;months;10.18632/aging.103652;n/a;;;;;
#ÑÑÛËÊÀ!;Egr1;EGR1;increase;increased gene expression;mRNA;CD8+ T lymphocytes;mouse;C57BL/6J;female;280,00;;n/a;n/a;6;36;n/a;n/a;weeks;10.1080/15384101.2016.1208873;n/a;;;;;
#ÑÑÛËÊÀ!;Fgf21;FGF21;decrease;decreased gene expression;mRNA;cingulate cortex;mouse;C57BL/6J;both;-60,00;;n/a;n/a;2;24;n/a;n/a;months;10.1073%2Fpnas.1514511113;n/a;;;;;
#ÑÑÛËÊÀ!;Flt1;FLT1;decrease;decreased gene expression;mRNA;cingulate cortex;mouse;ICR;male;-73,70;;n/a;n/a;11;65;n/a;n/a;weeks;10.1016/j.exger.2005.01.009;n/a;;;;;
#ÑÑÛËÊÀ!;Flt1;FLT1;decrease;decreased gene expression;mRNA;cohlea;mouse;CD1;female;-50,00;;n/a;n/a;2.5;25;n/a;n/a;months;10.1016/j.exger.2005.10.003;n/a;;;;;
#ÑÑÛËÊÀ!;Foxm1;FOXM1;decrease;decreased gene expression;mRNA;cohlea;mouse;C57BL6/J x DBA;male;-30,00;;n/a;n/a;2;4;n/a;n/a;months;10.2337/db15-0465;n/a;;;;;
#ÑÑÛËÊÀ!;Foxm1;FOXM1;decrease;decreased gene expression;mRNA;cohlea;mouse;C57BL6/J x DBA;male;-50,00;;n/a;n/a;2;8;n/a;n/a;months;10.2337/db15-0465;n/a;;;;;
#ÑÑÛËÊÀ!;Foxm1;FOXM1;decrease;decreased gene expression;mRNA;cohlea;mouse;C57BL6/J x DBA;male;-50,00;;n/a;n/a;2;12;n/a;n/a;months;10.2337/db15-0465;n/a;;;;;
#ÑÑÛËÊÀ!;Foxo1;FOXO1;decrease;decreased gene expression;mRNA;colon;mouse;outbreed;male;-34,98;;n/a;n/a;2;22;n/a;n/a;months;10.17179/excli2016-852;n/a;;;;;
#ÑÑÛËÊÀ!;Frzb;FRZB;increase;increased gene expression;mRNA;cortex;mouse;C57BL/6J;male;140,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Frzb;FRZB;increase;increased gene expression;mRNA;cortex;mouse;C57BL/6J;male;135,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Frzb;FRZB;increase;increased gene expression;mRNA;cortex in caudal diencephalon;mouse;C57BL/6J;male;140,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd2;FZD2;decrease;decreased gene expression;mRNA;cortex in caudal diencephalon;mouse;C57BL/6J;male;-30,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd2;FZD2;decrease;decreased gene expression;mRNA;cortex in ristral diencephalon;mouse;C57BL/6J;male;-65,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd3;FZD3;decrease;decreased gene expression;mRNA;cortical femur;mouse;C57BL/6J;male;-70,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd3;FZD3;decrease;decreased gene expression;mRNA;endothelial progenitor cells;mouse;C57BL/6J;male;-97,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd3;FZD3;decrease;decreased gene expression;mRNA;endothelial progenitor cells;mouse;C57BL/6J;male;-75,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd3;FZD3;decrease;decreased gene expression;mRNA;endothelial progenitor cells;mouse;C57BL/6J;male;-80,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd8;FZD8;decrease;decreased gene expression;mRNA;endothelial progenitor cells;mouse;C57BL/6J;male;-64,00;;n/a;n/a;5;36;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Fzd8;FZD8;increase;increased gene expression;mRNA;endothelial progenitor cells;mouse;C57BL/6J;male;40,00;;n/a;n/a;5;24;n/a;n/a;months;10.1007/s11357-014-9618-3;n/a;;;;;
#ÑÑÛËÊÀ!;Gclc;GCLC;decrease;decreased gene expression;mRNA;eye;mouse;C57BL/6;male;-39,00;;n/a;n/a;3;24;n/a;n/a;months;10.1016/s0531-5565(03)00036-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gclc;GCLC;decrease;decreased gene expression;mRNA;fat;mouse;C57BL/6;male;-38,00;;n/a;n/a;3;24;n/a;n/a;months;10.1016/s0531-5565(03)00036-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gclc;GCLC;decrease;decreased gene expression;mRNA;fat;mouse;C57BL/6;female;-37,00;;n/a;n/a;3;24;n/a;n/a;months;10.1016/s0531-5565(03)00036-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gclc;GCLC;decrease;decreased gene expression;mRNA;fat;mouse;C57BL/6;female;-16,00;;n/a;n/a;3;24;n/a;n/a;months;10.1016/s0531-5565(03)00036-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gclm;GCLM;decrease;decreased gene expression;mRNA;fat;mouse;C57BL/6;female;-20,00;;n/a;n/a;3;24;n/a;n/a;months;10.1016/s0531-5565(03)00036-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gclm;GCLM;decrease;decreased gene expression;mRNA;frontal cortex;mouse;C57BL/6;male;-66,00;;n/a;n/a;3;24;n/a;n/a;months;10.1016/s0531-5565(03)00036-6;n/a;;;;;
#ÑÑÛËÊÀ!;Gdf11;GDF11;decrease;decreased gene expression;mRNA;ganglion;mouse;C57BL/6;male;-40,00;<0.01;n/a;n/a;3;21;n/a;n/a;months;10.1007/s00395-016-0593-y;n/a;;;;;
#ÑÑÛËÊÀ!;Gdf11;GDF11;increase;increased gene expression;mRNA;heart;mouse;BALB/c;male;200,00;;n/a;n/a;3;18;n/a;n/a;months;10.18632/oncotarget.19854;n/a;;;;;
#ÑÑÛËÊÀ!;Glo1;GLO1;increase;increased gene expression;mRNA;heart;mouse;CD-1;female;200,00;;n/a;n/a;12;14;n/a;n/a;months;10.1155/2016/3837623;n/a;;;;;
#ÑÑÛËÊÀ!;Gpcpd1;GPCPD1;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6;n/a;n/a;;n/a;n/a;5;27;n/a;n/a;months;10.1074/jbc.M110.106708;n/a;;;;;
#ÑÑÛËÊÀ!;Gpcpd1;GPCPD1;decrease;decreased gene expression;mRNA;heart;mouse;C57BL/6;n/a;n/a;;n/a;n/a;6;24;n/a;n/a;months;10.18632/aging.100677;n/a;;;;;
#ÑÑÛËÊÀ!;Gpcpd1;GPCPD1;increase;increased gene expression;mRNA;heart;mouse;C57BL/6J;n/a;n/a;;n/a;n/a;2;26;n/a;n/a;months;10.1152/physiolgenomics.00060.2007;n/a;;;;;
#ÑÑÛËÊÀ!;Gpcpd1;GPCPD1;increase;increased gene expression;mRNA;heart;mouse;DBA/2J;n/a;n/a;;n/a;n/a;2;18;n/a;n/a;months;10.1152/physiolgenomics.00060.2007;n/a;;;;;
